"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-38.509289,175.579117
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-38.749798,177.08313
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",41.690926,41.710369
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-41.283333,173.766667
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-35.416667,173.5
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-35.266667,173.7
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-35.65,174.183333
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-44.85,168.383333
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-35.416667,173.8
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-39.933334,175.033333
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-35.716667,174.316667
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-43.75,173
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-35.5,173.666667
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-44.783333,168.066667
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-36.885556,174.521389
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-37.125556,175.225833
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-43.448056,171.465833
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-39.143889,175.843056
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-43.581613,172.649564
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-41.333629,173.054479
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-40.248211,175.532943
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-42.34825,171.532887
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-35.748123,174.316285
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-35.731453,174.316285
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-39.296787,174.063199
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-37.064817,174.949617
"Podocarpus","Podocarpus totara","Podocarpus totara G.Benn. ex D.Don",-44.248293,169.849527
